nth temp ene nn nnn nnnn 
2 2.493 -196.8 -180 -176 -176
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -196.8 -180 -176 -176
2 2.493 -206.4 -188 -184 -184
2 2.493 -202.4 -184 -176 -180
2 2.493 -202.4 -184 -176 -180
2 2.493 -180 -164 -148 -140
2 2.493 -220 -200 -200 -200
2 2.493 -174.4 -160 -148 -140
2 2.493 -200.8 -184 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -196.8 -180 -176 -176
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -192.8 -176 -168 -172
2 2.493 -188 -172 -172 -168
2 2.493 -220 -200 -200 -200
2 2.493 -192.8 -176 -168 -152
2 2.493 -173.6 -160 -152 -156
2 2.493 -193.6 -176 -164 -156
2 2.493 -200.8 -184 -184 -184
2 2.493 -192.8 -176 -168 -172
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -192.8 -176 -168 -160
2 2.493 -200.8 -184 -184 -188
2 2.493 -179.2 -164 -168 -160
2 2.493 -192.8 -176 -168 -172
2 2.493 -196.8 -180 -176 -176
2 2.493 -206.4 -188 -184 -184
2 2.493 -184 -168 -156 -148
2 2.493 -206.4 -188 -184 -184
2 2.493 -196.8 -180 -176 -176
2 2.493 -150.4 -140 -144 -144
2 2.493 -173.6 -160 -152 -148
2 2.493 -210.4 -192 -192 -192
2 2.493 -177.6 -164 -160 -160
2 2.493 -193.6 -176 -164 -156
2 2.493 -192 -176 -180 -176
2 2.493 -220 -200 -200 -200
2 2.493 -196.8 -180 -176 -172
2 2.493 -174.4 -160 -156 -152
2 2.493 -191.2 -176 -176 -176
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -183.2 -168 -160 -164
2 2.493 -192.8 -176 -176 -168
2 2.493 -188 -172 -164 -164
2 2.493 -192 -176 -172 -168
2 2.493 -206.4 -188 -184 -184
2 2.493 -181.6 -168 -168 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -187.2 -172 -168 -168
2 2.493 -160 -148 -144 -136
2 2.493 -169.6 -156 -152 -144
2 2.493 -188 -172 -172 -168
2 2.493 -182.4 -168 -164 -164
2 2.493 -201.6 -184 -188 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -192 -176 -172 -168
2 2.493 -152 -140 -120 -112
2 2.493 -210.4 -192 -192 -192
2 2.493 -202.4 -184 -176 -180
2 2.493 -183.2 -168 -160 -160
2 2.493 -206.4 -188 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -191.2 -176 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -177.6 -164 -160 -160
2 2.493 -183.2 -168 -160 -160
2 2.493 -188 -172 -164 -160
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -191.2 -176 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -181.6 -168 -168 -168
2 2.493 -196.8 -180 -176 -176
2 2.493 -191.2 -176 -176 -176
2 2.493 -220 -200 -200 -200
2 2.493 -200.8 -184 -184 -184
2 2.493 -164 -152 -144 -136
2 2.493 -169.6 -156 -152 -148
2 2.493 -164 -152 -152 -144
2 2.493 -201.6 -184 -180 -176
2 2.493 -173.6 -160 -152 -156
2 2.493 -171.2 -156 -136 -124
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -155.2 -144 -132 -132
2 2.493 -201.6 -184 -188 -184
2 2.493 -192 -176 -172 -168
2 2.493 -173.6 -160 -152 -152
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -192 -176 -180 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -173.6 -160 -160 -152
2 2.493 -192 -176 -172 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -146.4 -136 -120 -132
2 2.493 -179.2 -164 -152 -160
2 2.493 -206.4 -188 -184 -184
2 2.493 -187.2 -172 -168 -168
2 2.493 -178.4 -164 -156 -152
2 2.493 -176.8 -160 -136 -128
2 2.493 -191.2 -176 -176 -176
2 2.493 -192.8 -176 -168 -160
2 2.493 -210.4 -192 -192 -192
2 2.493 -174.4 -160 -148 -144
2 2.493 -182.4 -168 -164 -164
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -192.8 -176 -168 -172
2 2.493 -220 -200 -200 -200
2 2.493 -172 -160 -160 -160
2 2.493 -196.8 -180 -176 -176
2 2.493 -196.8 -180 -176 -176
2 2.493 -178.4 -164 -164 -168
2 2.493 -183.2 -168 -160 -168
2 2.493 -187.2 -172 -168 -168
2 2.493 -168.8 -156 -148 -140
2 2.493 -196.8 -180 -176 -176
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -172.8 -160 -156 -156
2 2.493 -173.6 -160 -152 -152
2 2.493 -200.8 -184 -184 -184
2 2.493 -191.2 -176 -176 -176
2 2.493 -196.8 -180 -176 -180
2 2.493 -200.8 -184 -184 -184
2 2.493 -206.4 -188 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -191.2 -176 -176 -176
2 2.493 -160.8 -148 -132 -144
2 2.493 -116 -108 -92 -72
2 2.493 -181.6 -168 -168 -168
2 2.493 -188.8 -172 -160 -164
2 2.493 -196.8 -180 -176 -176
2 2.493 -220 -200 -200 -200
2 2.493 -202.4 -184 -176 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -184
2 2.493 -184 -168 -156 -152
2 2.493 -196.8 -180 -176 -176
2 2.493 -164.8 -152 -148 -144
2 2.493 -192.8 -176 -168 -160
2 2.493 -191.2 -176 -176 -176
2 2.493 -188.8 -172 -160 -152
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -187.2 -172 -168 -168
2 2.493 -192 -176 -180 -176
2 2.493 -191.2 -176 -176 -176
2 2.493 -183.2 -168 -160 -168
2 2.493 -220 -200 -200 -200
2 2.493 -154.4 -144 -136 -136
2 2.493 -183.2 -168 -160 -152
2 2.493 -220 -200 -200 -200
2 2.493 -188 -172 -164 -164
2 2.493 -164.8 -152 -140 -128
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -184
2 2.493 -178.4 -164 -156 -156
2 2.493 -191.2 -176 -176 -176
2 2.493 -140 -128 -112 -120
2 2.493 -200.8 -184 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -196.8 -180 -176 -168
2 2.493 -168.8 -156 -148 -144
2 2.493 -192.8 -176 -168 -168
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -187.2 -172 -168 -168
2 2.493 -173.6 -160 -160 -152
2 2.493 -192 -176 -172 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -193.6 -176 -164 -160
2 2.493 -187.2 -172 -168 -160
2 2.493 -160 -148 -144 -128
2 2.493 -181.6 -168 -168 -168
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -156 -144 -128 -116
2 2.493 -206.4 -188 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -187.2 -172 -168 -168
2 2.493 -173.6 -160 -152 -152
2 2.493 -174.4 -160 -148 -148
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -196.8 -180 -176 -176
2 2.493 -172 -160 -160 -160
2 2.493 -161.6 -148 -152 -140
2 2.493 -193.6 -176 -164 -160
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -152 -140 -120 -100
2 2.493 -181.6 -168 -168 -176
2 2.493 -187.2 -172 -168 -168
2 2.493 -187.2 -172 -168 -168
2 2.493 -220 -200 -200 -200
2 2.493 -179.2 -164 -152 -152
2 2.493 -210.4 -192 -192 -192
2 2.493 -191.2 -176 -176 -176
2 2.493 -174.4 -160 -156 -152
2 2.493 -200.8 -184 -184 -184
2 2.493 -171.2 -156 -152 -148
2 2.493 -200.8 -184 -184 -184
2 2.493 -169.6 -156 -144 -136
2 2.493 -187.2 -172 -168 -172
2 2.493 -220 -200 -200 -200
2 2.493 -200.8 -184 -184 -184
2 2.493 -150.4 -140 -136 -132
2 2.493 -210.4 -192 -192 -192
2 2.493 -156 -144 -128 -116
2 2.493 -192.8 -176 -168 -168
2 2.493 -181.6 -168 -168 -168
2 2.493 -133.6 -124 -100 -76
2 2.493 -183.2 -168 -160 -160
2 2.493 -206.4 -188 -184 -184
2 2.493 -188 -172 -164 -156
2 2.493 -172 -160 -160 -160
2 2.493 -181.6 -168 -168 -172
2 2.493 -182.4 -168 -164 -152
2 2.493 -196.8 -180 -176 -176
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -201.6 -184 -188 -184
2 2.493 -176 -160 -140 -124
2 2.493 -162.4 -148 -132 -120
2 2.493 -179.2 -164 -152 -144
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -184.8 -168 -152 -164
2 2.493 -191.2 -176 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -160.8 -148 -132 -116
2 2.493 -201.6 -184 -188 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -206.4 -188 -184 -184
2 2.493 -183.2 -168 -160 -164
2 2.493 -191.2 -176 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -139.2 -128 -100 -80
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -156.8 -144 -132 -112
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -196.8 -180 -176 -176
2 2.493 -191.2 -176 -176 -176
2 2.493 -187.2 -172 -168 -168
2 2.493 -139.2 -128 -100 -116
2 2.493 -177.6 -164 -160 -156
2 2.493 -220 -200 -200 -200
2 2.493 -192 -176 -172 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -166.4 -152 -132 -120
2 2.493 -177.6 -164 -160 -164
2 2.493 -164 -152 -152 -144
2 2.493 -180 -164 -148 -144
2 2.493 -169.6 -156 -144 -136
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -201.6 -184 -180 -176
2 2.493 -189.6 -172 -156 -164
2 2.493 -187.2 -172 -168 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -201.6 -184 -180 -176
2 2.493 -196.8 -180 -176 -176
2 2.493 -179.2 -164 -160 -152
2 2.493 -193.6 -176 -172 -172
2 2.493 -156.8 -144 -124 -116
2 2.493 -202.4 -184 -176 -180
2 2.493 -210.4 -192 -192 -192
2 2.493 -160 -148 -136 -140
2 2.493 -184 -168 -156 -144
2 2.493 -192.8 -176 -168 -164
2 2.493 -200.8 -184 -184 -184
2 2.493 -134.4 -124 -120 -100
2 2.493 -125.6 -116 -108 -84
2 2.493 -143.2 -132 -124 -108
2 2.493 -134.4 -124 -104 -92
2 2.493 -206.4 -188 -184 -184
2 2.493 -180 -164 -156 -156
2 2.493 -220 -200 -200 -200
2 2.493 -196.8 -180 -176 -176
2 2.493 -206.4 -188 -184 -184
2 2.493 -177.6 -164 -160 -160
2 2.493 -146.4 -136 -128 -128
2 2.493 -172 -160 -160 -164
2 2.493 -191.2 -176 -176 -176
2 2.493 -182.4 -168 -164 -160
2 2.493 -191.2 -176 -176 -176
2 2.493 -174.4 -160 -156 -156
2 2.493 -184 -168 -156 -148
2 2.493 -220 -200 -200 -200
2 2.493 -178.4 -164 -156 -156
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -196.8 -180 -176 -176
2 2.493 -174.4 -160 -156 -156
2 2.493 -200.8 -184 -184 -184
2 2.493 -206.4 -188 -184 -184
2 2.493 -196.8 -180 -176 -176
2 2.493 -198.4 -180 -168 -176
2 2.493 -196.8 -180 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -196.8 -180 -176 -176
2 2.493 -155.2 -144 -140 -136
2 2.493 -206.4 -188 -184 -184
2 2.493 -206.4 -188 -184 -184
2 2.493 -151.2 -136 -104 -84
2 2.493 -184 -168 -164 -160
2 2.493 -210.4 -192 -192 -192
2 2.493 -192 -176 -172 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -182.4 -168 -164 -160
2 2.493 -187.2 -172 -168 -168
2 2.493 -220 -200 -200 -200
2 2.493 -206.4 -188 -184 -184
2 2.493 -206.4 -188 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -202.4 -184 -176 -168
2 2.493 -197.6 -180 -180 -176
2 2.493 -197.6 -180 -180 -176
2 2.493 -200.8 -184 -184 -184
2 2.493 -184 -168 -164 -152
2 2.493 -187.2 -172 -168 -168
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -159.2 -144 -112 -108
2 2.493 -178.4 -164 -156 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -183.2 -168 -160 -160
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -188.8 -172 -160 -168
2 2.493 -220 -200 -200 -200
2 2.493 -206.4 -188 -184 -184
2 2.493 -156.8 -144 -132 -124
2 2.493 -174.4 -160 -156 -148
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -187.2 -172 -168 -168
2 2.493 -202.4 -184 -176 -180
2 2.493 -187.2 -172 -168 -168
2 2.493 -170.4 -156 -156 -148
2 2.493 -182.4 -168 -172 -168
2 2.493 -181.6 -168 -168 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -187.2 -172 -168 -168
2 2.493 -184 -168 -156 -164
2 2.493 -202.4 -184 -176 -180
2 2.493 -177.6 -164 -160 -164
2 2.493 -192.8 -176 -168 -172
2 2.493 -206.4 -188 -184 -184
2 2.493 -162.4 -148 -124 -148
2 2.493 -160 -148 -136 -140
2 2.493 -156.8 -144 -132 -128
2 2.493 -196.8 -180 -176 -176
2 2.493 -196.8 -180 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -164 -152 -144 -156
2 2.493 -174.4 -160 -156 -160
2 2.493 -183.2 -168 -168 -164
2 2.493 -183.2 -168 -160 -160
2 2.493 -173.6 -160 -160 -152
2 2.493 -196.8 -180 -176 -176
2 2.493 -201.6 -184 -188 -184
2 2.493 -168.8 -156 -156 -152
2 2.493 -192 -176 -172 -168
2 2.493 -170.4 -156 -140 -136
2 2.493 -182.4 -168 -164 -160
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -196.8 -180 -176 -176
2 2.493 -188.8 -172 -160 -144
2 2.493 -210.4 -192 -192 -192
2 2.493 -182.4 -168 -164 -156
2 2.493 -180 -164 -156 -144
2 2.493 -210.4 -192 -192 -192
2 2.493 -140.8 -132 -120 -120
2 2.493 -178.4 -164 -156 -156
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -172.8 -156 -128 -124
2 2.493 -206.4 -188 -184 -184
2 2.493 -196.8 -180 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -196.8 -180 -176 -176
2 2.493 -220 -200 -200 -200
2 2.493 -183.2 -168 -160 -164
2 2.493 -220 -200 -200 -200
2 2.493 -168.8 -156 -148 -144
2 2.493 -206.4 -188 -184 -184
2 2.493 -164.8 -152 -148 -144
2 2.493 -220 -200 -200 -200
2 2.493 -184 -168 -156 -156
2 2.493 -179.2 -164 -152 -156
2 2.493 -180 -164 -148 -144
2 2.493 -187.2 -172 -168 -168
2 2.493 -188.8 -172 -168 -160
2 2.493 -188.8 -172 -168 -160
2 2.493 -206.4 -188 -184 -184
2 2.493 -200.8 -184 -184 -188
2 2.493 -220 -200 -200 -200
2 2.493 -187.2 -172 -168 -168
2 2.493 -163.2 -152 -156 -156
2 2.493 -200.8 -184 -184 -188
2 2.493 -220 -200 -200 -200
2 2.493 -188.8 -172 -160 -152
2 2.493 -152 -140 -120 -120
2 2.493 -183.2 -168 -160 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -188.8 -172 -160 -164
2 2.493 -177.6 -164 -160 -152
2 2.493 -173.6 -160 -152 -156
2 2.493 -168 -156 -152 -152
2 2.493 -210.4 -192 -192 -192
2 2.493 -177.6 -164 -160 -160
2 2.493 -188.8 -172 -168 -164
2 2.493 -197.6 -180 -172 -172
2 2.493 -156 -144 -128 -116
2 2.493 -206.4 -188 -184 -184
2 2.493 -179.2 -164 -168 -160
2 2.493 -206.4 -188 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -187.2 -172 -168 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -184 -168 -164 -160
2 2.493 -200.8 -184 -184 -184
2 2.493 -201.6 -184 -180 -176
2 2.493 -170.4 -156 -140 -132
2 2.493 -170.4 -156 -140 -136
2 2.493 -200.8 -184 -184 -184
2 2.493 -169.6 -156 -144 -144
2 2.493 -144 -132 -104 -100
2 2.493 -220 -200 -200 -200
2 2.493 -201.6 -184 -180 -176
2 2.493 -179.2 -164 -152 -144
2 2.493 -152.8 -140 -116 -124
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -161.6 -148 -136 -124
2 2.493 -160 -148 -136 -128
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -171.2 -156 -144 -128
2 2.493 -210.4 -192 -192 -192
2 2.493 -180 -164 -148 -140
2 2.493 -175.2 -160 -144 -132
2 2.493 -206.4 -188 -184 -184
2 2.493 -179.2 -164 -152 -156
2 2.493 -202.4 -184 -176 -180
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -179.2 -164 -152 -144
2 2.493 -168 -156 -152 -152
2 2.493 -181.6 -168 -168 -168
2 2.493 -191.2 -176 -176 -176
2 2.493 -181.6 -168 -168 -172
2 2.493 -187.2 -172 -168 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -206.4 -188 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -188 -172 -164 -156
2 2.493 -175.2 -160 -144 -148
2 2.493 -183.2 -168 -160 -156
2 2.493 -200.8 -184 -184 -184
2 2.493 -160 -148 -144 -136
2 2.493 -210.4 -192 -192 -192
2 2.493 -188 -172 -172 -168
2 2.493 -161.6 -148 -128 -112
2 2.493 -192 -176 -172 -168
2 2.493 -188 -172 -172 -168
2 2.493 -197.6 -180 -180 -176
2 2.493 -196.8 -180 -176 -176
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -187.2 -172 -168 -168
2 2.493 -200.8 -184 -184 -184
2 2.493 -165.6 -152 -144 -136
2 2.493 -197.6 -180 -180 -176
2 2.493 -182.4 -168 -164 -160
2 2.493 -188.8 -172 -160 -164
2 2.493 -210.4 -192 -192 -192
2 2.493 -188.8 -172 -160 -152
2 2.493 -220 -200 -200 -200
2 2.493 -179.2 -164 -152 -140
2 2.493 -191.2 -176 -176 -176
2 2.493 -159.2 -148 -140 -128
2 2.493 -206.4 -188 -184 -184
2 2.493 -196.8 -180 -176 -176
2 2.493 -196.8 -180 -176 -172
2 2.493 -206.4 -188 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -192.8 -176 -176 -168
2 2.493 -192.8 -176 -176 -168
2 2.493 -192.8 -176 -176 -168
2 2.493 -220 -200 -200 -200
2 2.493 -191.2 -176 -176 -180
2 2.493 -165.6 -152 -136 -136
2 2.493 -187.2 -172 -168 -168
2 2.493 -159.2 -148 -148 -144
2 2.493 -133.6 -124 -108 -104
2 2.493 -210.4 -192 -192 -192
2 2.493 -188 -172 -164 -148
2 2.493 -188 -172 -172 -168
2 2.493 -161.6 -148 -128 -124
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -200.8 -184 -184 -188
2 2.493 -210.4 -192 -192 -192
2 2.493 -164.8 -152 -140 -128
2 2.493 -187.2 -172 -168 -164
2 2.493 -201.6 -184 -188 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -187.2 -172 -168 -168
2 2.493 -196.8 -180 -176 -176
2 2.493 -196.8 -180 -176 -176
2 2.493 -174.4 -160 -156 -152
2 2.493 -188 -172 -164 -160
2 2.493 -180 -164 -148 -136
2 2.493 -165.6 -152 -136 -124
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -183.2 -168 -160 -164
2 2.493 -187.2 -172 -168 -168
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -178.4 -164 -164 -160
2 2.493 -173.6 -160 -152 -144
2 2.493 -192.8 -176 -168 -168
2 2.493 -165.6 -152 -136 -120
2 2.493 -178.4 -164 -164 -160
2 2.493 -187.2 -172 -168 -172
2 2.493 -160.8 -148 -132 -136
2 2.493 -150.4 -140 -136 -124
2 2.493 -193.6 -176 -164 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -184 -168 -164 -160
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -178.4 -164 -164 -160
2 2.493 -191.2 -176 -176 -180
2 2.493 -196.8 -180 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -179.2 -164 -152 -152
2 2.493 -210.4 -192 -192 -192
2 2.493 -122.4 -112 -72 -64
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -200.8 -184 -184 -188
2 2.493 -187.2 -172 -168 -168
2 2.493 -188.8 -172 -160 -164
2 2.493 -210.4 -192 -192 -192
2 2.493 -201.6 -184 -188 -184
2 2.493 -220 -200 -200 -200
2 2.493 -160.8 -148 -140 -140
2 2.493 -175.2 -160 -144 -152
2 2.493 -181.6 -168 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -124 -116 -100 -88
2 2.493 -168.8 -156 -148 -156
2 2.493 -182.4 -168 -164 -160
2 2.493 -196.8 -180 -176 -168
2 2.493 -196.8 -180 -176 -176
2 2.493 -201.6 -184 -188 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -182.4 -168 -172 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -197.6 -180 -180 -176
2 2.493 -178.4 -164 -164 -160
2 2.493 -200.8 -184 -184 -184
2 2.493 -187.2 -172 -168 -168
2 2.493 -173.6 -160 -152 -144
2 2.493 -177.6 -164 -160 -160
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -210.4 -192 -192 -192
2 2.493 -206.4 -188 -184 -184
2 2.493 -196.8 -180 -176 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -220 -200 -200 -200
2 2.493 -176 -160 -148 -152
2 2.493 -191.2 -176 -176 -176
2 2.493 -191.2 -176 -176 -176
2 2.493 -182.4 -168 -164 -160
2 2.493 -210.4 -192 -192 -192
2 2.493 -192 -176 -172 -168
2 2.493 -174.4 -160 -148 -148
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -200.8 -184 -184 -184
2 2.493 -210.4 -192 -192 -192
2 2.493 -196.8 -180 -176 -176
2 2.493 -201.6 -184 -188 -184
2 2.493 -183.2 -168 -160 -160
2 2.493 -210.4 -192 -192 -192
2 2.493 -173.6 -160 -152 -136
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -191.2 -176 -176 -176
2 2.493 -200.8 -184 -184 -184
2 2.493 -200.8 -184 -184 -184
2 2.493 -177.6 -164 -160 -160
2 2.493 -200.8 -184 -184 -184
2 2.493 -191.2 -176 -176 -176
2 2.493 -193.6 -176 -164 -160
2 2.493 -200.8 -184 -184 -184
2 2.493 -191.2 -176 -176 -176
2 2.493 -220 -200 -200 -200
2 2.493 -188 -172 -164 -160
2 2.493 -191.2 -176 -176 -176
2 2.493 -192 -176 -180 -176
2 2.493 -182.4 -168 -164 -160
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -201.6 -184 -188 -184
2 2.493 -196.8 -180 -176 -176
2 2.493 -191.2 -176 -176 -180
2 2.493 -220 -200 -200 -200
2 2.493 -206.4 -188 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -206.4 -188 -184 -184
2 2.493 -187.2 -172 -168 -168
2 2.493 -210.4 -192 -192 -192
2 2.493 -192.8 -176 -168 -168
2 2.493 -192 -176 -180 -176
2 2.493 -210.4 -192 -192 -192
2 2.493 -197.6 -180 -172 -172
2 2.493 -220 -200 -200 -200
2 2.493 -220 -200 -200 -200
2 2.493 -188.8 -172 -160 -164
2 2.493 -220 -200 -200 -200
2 2.493 -210.4 -192 -192 -192
2 2.493 -183.2 -168 -160 -160
2 2.493 -144 -132 -112 -96
2 2.493 -220 -200 -200 -200
2 2.493 -191.2 -176 -176 -176
2 2.493 -191.2 -176 -176 -176
2 2.493 -177.6 -164 -160 -156
2 2.493 -171.2 -156 -136 -128
2 2.493 -191.2 -176 -176 -176
2 2.493 -188 -172 -164 -160
2 2.493 -191.2 -176 -176 -176
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -201.6 -184 -180 -176
2 2.493 -192 -176 -180 -176
2 2.493 -181.6 -168 -168 -172
2 2.493 -200.8 -184 -184 -184
2 2.493 -220 -200 -200 -200
2 2.493 -206.4 -188 -184 -184
